id	TCGA-BD-A3EP-11A	TCGA-G3-A3CH-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11A-11A	TCGA-DD-A3A6-11A	TCGA-DD-A1EB-11A	TCGA-BC-A110-11A	TCGA-BC-A216-11A	TCGA-FV-A3R2-11A	TCGA-DD-A3A4-11A	TCGA-BC-A10Y-11A	TCGA-BC-A10W-11A	TCGA-DD-A119-11A	TCGA-DD-A1EC-11A	TCGA-DD-A1EJ-11A	TCGA-BC-A10R-11A	TCGA-FV-A3I1-11A	TCGA-BC-A10Q-11A	TCGA-FV-A23B-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1EG-11A	TCGA-DD-A11D-11A	TCGA-BC-A10T-11A	TCGA-ES-A2HT-11A	TCGA-EP-A3RK-11A	TCGA-FV-A2QR-11A	TCGA-DD-A11C-11A	TCGA-DD-A39W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A113-11A	TCGA-DD-A39X-11A	TCGA-DD-A3A5-11A	TCGA-DD-A3A2-11A	TCGA-EP-A12J-11A	TCGA-BC-A10U-11A	TCGA-DD-A118-11A	TCGA-DD-A1EL-11A	TCGA-DD-A3A3-11A	TCGA-DD-A116-11A	TCGA-DD-A1EI-11A	TCGA-BD-A2L6-11A	TCGA-FV-A3I0-11A	TCGA-DD-A1EE-11A	TCGA-DD-A3A8-11A	TCGA-DD-A11B-11A	TCGA-DD-A114-11A	TCGA-DD-A39Z-11A	TCGA-EP-A26S-11A	TCGA-DD-A39V-11A
SPRY2	5.65187	4.298338	5.707946	4.652608	6.142594	3.757363	4.866404	6.260166	4.900468	4.663219	5.026517	5.100542	5.524306	4.972941	5.415623	5.240243	5.466833	4.673682	5.350507	4.876728	5.38302	5.1303	5.069932	5.021239	4.948313	4.403813	5.663806	4.595221	4.244599	4.188313	5.653285	4.236446	5.36996	4.586875	4.311791	6.167524	5.069363	4.788925	5.812516	4.203242	4.171744	5.268517	5.603359	4.433582	4.421561	3.980528	4.356163	4.595249	4.391644	4.734195
GPHN	4.405629	3.707065	4.569489	4.10412	4.017712	4.376731	4.440549	4.057621	4.183815	4.009175	3.936162	4.667407	4.13366	4.539693	4.866636	4.543599	4.29884	4.411337	4.789431	4.425974	3.825501	4.257264	4.352612	4.038865	3.535153	4.97218	4.025026	4.562529	4.344853	3.796958	4.099603	4.695666	4.460181	4.428528	4.225035	3.977057	4.514034	3.598418	3.973254	4.119569	4.335461	3.787052	5.06568	4.281424	3.547974	3.906124	3.663589	4.453412	4.232081	3.721606
GLUD1	9.18836	9.595844	9.70196	9.605829	9.006388	8.878836	9.418897	8.984635	8.304242	8.22905	8.871254	8.891452	9.261565	8.849798	8.913915	9.07997	9.152626	9.254703	9.49739	9.456709	8.392072	9.065892	9.365194	9.021991	8.835651	9.43347	8.114819	9.563735	9.373343	8.590578	9.209473	9.659424	9.164992	8.934201	9.498454	9.236998	9.388076	9.536006	7.91718	9.05622	9.867481	8.166153	9.005218	8.594303	9.114568	9.02632	9.26278	8.594117	9.401779	9.159587
TTC9	2.152284	2.001966	1.898103	1.939392	2.381497	1.842652	2.110525	1.906418	1.917428	2.031867	2.286255	1.956799	2.521235	2.332311	2.004801	2.620059	2.094601	1.982875	1.919701	3.191336	3.088137	2.083758	2.513815	1.961403	3.498884	1.78736	3.351696	2.302777	2.112338	2.517769	2.729798	2.271793	2.09906	1.945822	2.485193	1.977229	1.851645	2.641776	1.900204	2.326248	2.084593	2.73858	1.891159	2.343519	1.991832	2.538674	2.731514	2.391384	2.060225	1.966699
SFRP5	4.488113	4.539778	4.607163	4.54701	3.5046	5.231435	4.33866	4.121498	3.819447	5.234196	4.511426	4.133362	4.808843	4.894524	4.375997	3.961416	4.116141	3.322683	3.979985	4.286292	5.455319	4.657871	4.217056	4.35456	4.376873	4.094858	4.094917	3.744105	4.319482	5.000923	4.453303	3.212869	3.781797	4.175321	5.208784	5.239968	4.068112	4.699768	4.291496	4.125301	4.752851	5.005696	4.402932	4.90875	4.58994	4.629441	4.406339	4.17899	3.997414	4.2108
ADCY6	2.971805	2.668525	2.31517	2.439625	2.546805	2.263485	2.715487	2.252309	2.534041	2.895365	2.875468	2.785492	2.370296	2.455412	3.087447	2.578298	2.577789	2.98852	2.334002	3.122182	2.648948	2.45298	2.616323	2.24255	3.016037	2.617086	2.908523	2.736219	2.62891	2.574535	2.47951	2.821139	2.620405	2.666187	2.911264	2.437008	2.511947	2.904441	2.303351	2.788017	2.607425	2.740265	2.288961	2.835847	2.563518	3.047475	2.848851	2.592279	2.81741	2.546276
FANCL	3.546309	3.698944	4.086191	3.967614	3.721927	3.502112	3.955613	3.792835	3.80765	4.294111	4.277795	4.231309	3.735969	3.462607	3.933248	4.353085	3.309513	4.310833	3.666822	4.489504	4.455677	3.650266	3.989471	3.544689	4.382851	3.872948	4.465467	3.936287	3.706884	3.343334	3.842483	4.08346	3.990617	4.325999	3.471204	3.253606	3.745375	4.067421	3.915733	3.96852	3.866429	4.341081	3.290751	3.856239	2.873082	3.432661	4.195117	4.062209	3.326595	3.713917
ZG16	5.142366	6.620366	6.317983	6.521543	3.607684	6.653551	5.861722	5.11467	4.511457	4.874076	4.445655	5.003001	5.273704	4.534608	4.011162	4.931635	6.240693	5.576358	6.16695	5.084136	4.478972	6.239439	5.974052	5.839226	5.810488	6.383169	4.461061	6.657599	6.205442	5.517047	5.312139	5.871128	6.358551	6.120618	5.665089	6.270761	5.81737	6.001515	5.33933	5.737271	6.335526	5.23672	5.46499	4.919949	6.176669	6.055048	5.291422	5.88983	6.772295	6.083903
MARCO	6.599358	6.363483	6.176673	6.123226	8.166024	2.817782	7.080559	6.902527	6.457796	6.999975	7.976175	6.199971	6.478329	8.01499	7.4935	7.072412	7.982624	6.729174	4.910412	6.790344	5.384495	7.096667	6.736149	5.824797	5.365647	5.198949	7.215616	6.94304	6.177131	7.911004	5.964893	6.717933	4.773634	6.761307	6.467119	6.266097	6.804135	6.771143	7.429717	6.053994	6.336538	8.291666	5.216067	7.653076	6.569213	4.445945	7.346422	3.935473	5.718067	6.112118
VPS45	2.763202	2.990637	2.974195	2.881166	2.956022	2.575847	2.922935	2.737933	2.9352	2.929809	3.232452	3.075259	2.988695	2.956785	2.926824	3.130863	2.698977	2.912774	2.902743	3.281146	2.872154	2.940205	3.100441	2.619311	3.33018	2.848229	3.289003	2.947253	2.812654	2.945624	2.835908	2.80897	2.808001	2.906691	3.263179	2.687822	2.862753	3.179776	2.872725	3.065863	3.097028	3.255076	2.639931	2.978741	2.833771	2.963726	3.449819	2.788965	2.711713	2.843389
