id	TCGA-BD-A3EP-11A	TCGA-G3-A3CH-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11A-11A	TCGA-DD-A3A6-11A	TCGA-DD-A1EB-11A	TCGA-BC-A110-11A	TCGA-BC-A216-11A	TCGA-FV-A3R2-11A	TCGA-DD-A3A4-11A	TCGA-BC-A10Y-11A	TCGA-BC-A10W-11A	TCGA-DD-A119-11A	TCGA-DD-A1EC-11A	TCGA-DD-A1EJ-11A	TCGA-BC-A10R-11A	TCGA-FV-A3I1-11A	TCGA-BC-A10Q-11A	TCGA-FV-A23B-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1EG-11A	TCGA-DD-A11D-11A	TCGA-BC-A10T-11A	TCGA-ES-A2HT-11A	TCGA-EP-A3RK-11A	TCGA-FV-A2QR-11A	TCGA-DD-A11C-11A	TCGA-DD-A39W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A113-11A	TCGA-DD-A39X-11A	TCGA-DD-A3A5-11A	TCGA-DD-A3A2-11A	TCGA-EP-A12J-11A	TCGA-BC-A10U-11A	TCGA-DD-A118-11A	TCGA-DD-A1EL-11A	TCGA-DD-A3A3-11A	TCGA-DD-A116-11A	TCGA-DD-A1EI-11A	TCGA-BD-A2L6-11A	TCGA-FV-A3I0-11A	TCGA-DD-A1EE-11A	TCGA-DD-A3A8-11A	TCGA-DD-A11B-11A	TCGA-DD-A114-11A	TCGA-DD-A39Z-11A	TCGA-EP-A26S-11A	TCGA-DD-A39V-11A
PAFAH1B3	2.511603	2.33276	2.685582	2.455228	3.040037	2.765104	2.459711	2.387579	2.822846	3.022703	3.349524	2.61586	2.960584	2.626269	3.062943	2.87424	2.093108	2.228637	2.388994	2.959769	3.263581	2.464339	2.450234	2.407331	3.175095	2.435236	3.628433	2.856894	2.28344	3.673269	2.406901	3.205157	2.590549	2.485561	2.399912	2.462186	2.542661	2.56067	3.096803	2.487367	2.878977	3.197515	2.211742	2.993149	2.432847	2.459146	2.931292	3.250331	2.306359	2.555338
ATF5	8.112324	7.499249	8.576535	7.981409	6.695891	8.479724	8.459488	8.22097	8.335592	7.387147	9.132108	6.546043	7.852049	8.122442	8.068826	8.830052	8.173446	7.864519	7.811691	7.101025	8.271167	6.89384	8.33466	7.758554	6.044443	7.637389	6.555225	8.834245	8.384897	7.514994	8.405081	7.743812	8.536493	6.96817	7.145453	7.775267	7.828982	7.236987	6.796044	7.402642	8.036173	6.61962	8.507157	6.794521	7.766028	8.299143	7.15019	8.425964	7.863754	8.503112
PPP2R5A	4.450015	4.354351	4.572695	4.506448	4.695449	4.247074	4.608345	4.385093	4.721456	5.017943	5.170236	4.91788	4.474593	4.868803	4.747299	4.741244	4.517957	4.868185	4.613939	4.670566	4.913886	4.377857	4.56952	4.737656	4.756493	4.513728	4.764243	4.512747	4.338943	4.437444	4.669665	4.754176	4.672237	4.980759	4.823117	4.383899	4.919743	4.436402	4.787446	4.45707	4.225126	4.827162	4.348137	4.807048	3.912555	4.300765	4.597307	4.811038	4.621919	4.51265
GSS	5.35434	5.534176	5.385107	5.389457	5.214496	5.201663	5.331588	5.194679	5.01772	5.22395	5.678667	5.283392	5.612647	5.059553	4.97262	5.420782	5.457924	5.07264	5.402213	5.865798	5.439268	5.525057	5.586941	5.101665	6.063308	5.133527	5.757415	5.6462	5.364421	5.857778	5.472957	5.320745	5.306008	5.23713	5.980714	5.356219	5.26906	5.63904	5.090812	5.653802	5.734002	5.538946	5.163873	5.495674	5.783736	5.431475	5.893143	5.263708	5.157226	5.520111
ITIH1	10.216881	10.198274	10.046758	9.827723	10.236551	9.947296	10.472367	10.373635	9.97074	10.216499	9.98935	10.159798	9.422466	10.350998	10.507754	10.095882	10.184107	10.509281	10.323862	10.064448	9.751795	10.033913	9.591014	10.069561	9.184551	10.063214	9.874885	10.254415	10.442261	10.162071	9.883783	10.388985	10.496358	10.250107	9.388952	9.94999	9.615135	9.780049	10.294233	9.983869	10.199449	9.608377	10.453263	10.096685	10.28575	9.950749	9.184589	10.205793	10.257932	10.23676
PTGES3	7.572331	7.282865	7.408557	7.301455	7.432388	7.175746	7.509942	7.37476	7.313549	7.888591	8.408135	7.995657	7.103907	7.366791	7.657607	7.649832	7.157924	7.613061	7.032942	7.603062	8.155298	7.125441	7.779374	7.620981	8.000298	7.373719	7.669718	7.210383	7.652902	7.368328	7.484509	7.272128	7.250484	7.591952	7.651163	7.097717	7.723375	7.270753	7.792646	7.253232	7.361049	7.643281	7.163108	7.378614	7.260745	7.127147	7.64768	7.111001	7.665175	7.237291
RBM5	3.961285	4.007996	4.040013	3.921912	3.951239	3.255125	4.109315	4.178659	3.802275	4.329495	4.605742	4.346418	4.131205	3.85161	4.123161	4.050374	3.77319	4.30908	4.058181	4.549996	4.55775	3.976375	4.238197	3.821902	4.270232	4.112995	4.422784	4.38159	4.022551	3.960613	3.878208	3.995714	3.980217	4.189085	3.856592	4.002472	3.899057	4.123069	3.975359	4.172606	3.979081	4.836374	3.855015	4.183102	3.429997	3.906223	4.35288	4.133102	3.605124	3.954232
SCAP	5.946331	5.622541	4.274288	4.967082	5.075943	4.785721	5.25116	4.653897	4.98851	6.132767	5.907249	5.654824	5.058188	4.904249	5.714913	5.248584	5.389482	5.689326	5.309448	5.647536	5.439707	5.463257	5.583036	4.765909	5.955115	5.497157	5.496708	5.592287	5.29918	5.741663	5.141779	5.480415	5.42525	5.449583	6.439996	5.114268	5.112144	5.875551	5.443304	5.531046	5.493315	5.3092	5.056569	5.886855	5.89838	6.137222	5.929151	5.092174	5.738164	5.093477
NEDD4L	2.284002	2.709157	2.551679	2.685481	2.386044	2.171118	2.543591	2.443933	2.404439	2.819962	2.854992	2.975805	3.209574	2.550462	2.268977	2.92725	3.319395	2.193966	2.870075	2.798913	2.696274	2.677045	2.770127	2.540263	2.878153	2.493414	3.349088	2.283768	2.298022	2.795558	2.334227	2.42292	2.139796	2.60087	3.024988	3.055706	2.501703	3.025417	2.99223	2.871039	2.681164	2.798482	2.640021	2.919689	2.699179	2.768809	3.562167	2.177023	2.366355	2.176273
POMGNT1	4.010842	4.052482	3.335268	3.713928	4.141772	3.510691	4.014574	3.857748	3.916026	4.4258	4.501715	4.12522	3.780349	3.863122	4.044043	3.987783	3.943945	4.026457	3.823844	4.289033	4.055365	3.787585	3.914308	3.475809	4.450245	3.93259	4.385981	4.26332	3.967052	4.381193	3.852037	4.087543	4.067105	4.110707	4.170274	3.782143	4.087918	4.380222	4.044817	4.076757	4.069004	4.050144	3.525783	4.285999	4.245812	4.411357	4.335342	3.90238	4.01987	4.119803
TUBB2A	7.464149	5.463308	6.330463	6.351914	6.641205	6.156919	6.902357	6.213113	4.811093	6.361151	7.448187	6.367208	6.732915	6.460328	5.552375	6.963492	6.495091	5.605054	6.004542	6.458536	7.558302	6.212052	5.351308	6.672413	7.573513	5.802038	7.326576	6.296474	5.980559	6.054549	6.84441	6.496558	6.662313	5.068807	7.107059	6.1993	6.259068	6.756321	5.80536	5.556616	6.047933	5.972327	7.019874	5.704148	5.785229	6.285399	5.505413	6.720775	6.158051	6.232905
SCAMP2	4.65622	4.887194	4.466455	4.573167	4.600425	4.819333	4.890164	4.524031	4.458089	4.977653	5.377258	4.872871	4.649267	4.750828	4.67837	4.77627	4.57266	4.557776	4.411376	4.842898	4.844389	4.463578	4.806382	4.349222	5.238838	4.655957	5.057454	4.866301	4.881723	4.710905	4.530912	4.603114	4.615476	4.401676	4.955717	4.407582	4.387194	4.602908	4.913452	4.410379	4.52531	5.224704	4.559217	4.715893	4.904608	4.635389	5.003484	4.631974	4.732097	4.402849
ADRM1	6.355156	6.011229	5.726976	5.986814	5.695237	6.191256	6.217803	6.352114	5.434361	6.147305	6.73703	5.705457	6.056073	5.839698	5.460115	5.977156	5.721915	5.787335	5.955564	5.956064	6.288338	6.066766	5.776132	5.6766	6.254133	5.741078	6.195769	5.98709	5.91012	6.555382	6.078094	6.031835	6.136755	5.418981	5.93335	5.428816	5.735785	6.071827	6.098187	5.638341	5.705402	5.856913	5.996769	5.598097	6.543752	5.689516	5.664402	5.965468	5.684291	6.02639
ADAM10	2.811073	2.730082	2.98507	2.707172	3.2875	2.127473	2.988319	2.864746	2.707333	2.673544	3.105862	3.161701	2.94452	3.13653	3.111319	3.051521	2.806683	2.805526	2.774096	2.92567	2.945689	2.537028	3.099598	2.810503	3.249083	2.524769	3.378379	2.697102	2.527017	2.299756	2.734121	2.571362	2.386052	2.527098	3.299835	2.920536	2.759361	2.922093	2.744144	2.593999	2.861641	3.102064	2.505969	3.065797	2.1731	2.741531	3.530912	2.43761	2.488207	2.534024
SLC4A1AP	3.313869	3.244398	3.377333	3.130343	3.259545	2.797756	3.485553	3.32843	3.244908	3.361744	3.794928	3.574605	3.353258	3.477852	3.410229	3.56647	3.087067	3.226517	3.061853	3.553112	3.385922	3.204436	3.418221	3.155007	3.64791	3.133123	3.85662	3.253907	3.383088	3.001206	3.084542	3.193433	3.104391	3.293108	3.542401	3.033964	3.07313	3.542715	3.452431	3.192212	3.272613	3.574897	3.090985	3.348586	2.982422	3.183741	3.528825	3.192294	3.167137	3.256518
HP	9.639502	9.955285	10.380661	10.623857	11.12586	10.548969	10.341416	10.595217	11.428222	10.171428	11.005297	10.057419	10.311998	11.13001	11.134181	10.556162	10.048272	10.301695	10.384122	9.821373	10.7413	10.466351	10.475104	10.701379	9.557088	10.009487	10.118205	10.824577	10.388489	11.386947	10.95028	10.656689	10.921946	10.272634	10.213309	10.60522	10.384194	9.88176	10.609346	10.070521	10.124495	10.216992	10.816531	10.91947	10.771868	10.084414	9.829206	11.158609	10.583247	11.358842
ADAM15	2.602222	2.658682	2.12627	2.229337	2.438372	2.330741	2.5771	2.805663	2.399628	2.717247	3.50027	2.729685	2.76559	2.56388	2.872507	2.522777	2.598191	2.541451	2.463346	2.863615	2.666939	2.603799	2.769646	2.304383	2.835674	2.416161	2.695872	2.484338	2.344908	2.983186	2.51862	2.347795	2.444331	2.563203	2.680453	2.457445	2.522783	2.712617	2.505293	2.469137	2.752858	2.85905	2.405505	2.508725	2.310719	2.792851	2.91266	2.606386	2.444352	2.365694
NUCB2	4.226172	4.613736	4.064989	4.436873	5.559063	4.359334	4.51997	4.439424	5.020045	5.219193	3.780762	3.244437	4.205241	4.425683	4.631498	4.0929	3.956898	4.264049	4.484611	4.739497	4.171786	4.238162	4.896741	3.948481	4.916403	4.746634	4.682404	4.75361	3.968979	4.684129	4.441505	4.581526	4.504268	4.259211	4.166819	4.901069	4.430122	5.143287	4.407928	4.346962	4.47669	4.164312	4.225317	4.296321	3.112511	3.79126	5.311414	4.620483	4.668785	5.636979
POP7	5.449074	5.247527	5.304962	5.479229	4.836646	5.958828	4.939135	5.572221	5.235193	5.567761	5.836779	5.199528	5.511665	4.645305	4.981688	5.302057	5.286624	5.545257	5.300705	5.079448	5.750157	5.28346	5.4326	5.996167	5.344289	5.244254	5.372441	5.414288	5.175178	5.68716	5.228767	5.025107	5.312881	5.623475	5.696101	5.60369	5.615851	4.760631	5.78219	4.758399	5.077705	5.127953	5.266739	5.292518	5.307529	5.037169	4.888563	5.695922	5.270185	5.093024
MAPK13	2.483995	2.481878	2.2367	2.151733	2.157991	1.985092	2.278182	2.149435	2.361042	2.334444	2.380129	2.426606	2.40825	2.142291	2.45227	2.314658	2.135149	2.366084	2.313521	2.444549	2.610563	2.378016	2.653372	2.23671	3.87711	2.095262	2.934122	2.169471	2.118749	2.195658	2.160758	2.094073	2.056811	2.323446	2.52471	2.386973	2.232535	2.297307	2.286013	2.418055	2.195969	2.761146	2.261893	2.590946	2.182672	2.589092	2.718207	2.116323	2.083405	2.112123
CEP55	1.675308	1.744921	1.700531	1.669991	1.768575	1.610345	1.701453	1.636367	2.187933	1.682955	1.758612	1.718243	1.697738	1.627136	1.700672	1.705178	1.640562	1.653144	1.791457	1.783448	1.627755	1.665819	1.726771	1.69419	1.815301	1.678899	1.745899	1.638383	1.657863	1.647378	1.666731	1.68755	1.615725	1.635114	1.692344	1.647182	1.697835	1.791376	1.685694	1.710635	1.764409	2.00104	1.628381	1.708769	1.608371	1.658708	1.984934	1.753486	1.614877	1.71817
GADD45G	5.751708	5.798917	5.757754	6.733873	6.301046	6.905715	6.652226	7.150202	6.601947	6.328758	4.950567	5.458727	5.923919	5.032462	5.436596	4.72466	6.536001	4.745419	7.142192	3.979969	6.512848	6.776314	6.477469	4.811428	4.526343	6.222585	5.958756	6.656469	6.151157	7.331706	7.078366	5.956651	7.326342	6.209105	5.718114	7.28858	5.999376	5.323311	7.250523	5.794666	5.80629	3.92082	5.809203	6.252562	5.000657	6.048858	5.806542	4.963633	4.795807	7.084561
ERAL1	4.170571	4.25353	4.299778	4.386359	4.059699	4.476893	4.361263	4.365412	4.152811	4.338726	4.858685	4.286949	4.601814	4.225851	4.187388	4.332287	4.186285	4.044903	4.383686	4.307638	4.393708	4.449614	4.627006	4.170943	4.598631	4.370433	4.452795	4.359772	4.473387	4.436445	4.167195	4.430561	4.494345	4.258577	4.437076	4.231572	4.199091	4.301186	4.281185	4.217616	4.447634	4.370118	4.231031	4.274277	4.673904	4.160993	4.550855	4.357037	4.180514	4.260095
CDC37L1	6.035023	5.692352	6.037806	5.47233	6.174031	5.552847	6.019806	7.874241	6.177304	5.378367	5.672766	5.855817	6.726472	5.905432	5.734874	6.050091	5.841768	4.164238	6.527639	5.526485	6.831855	6.60115	5.660321	6.369587	5.495487	4.801913	5.035625	5.377197	5.386692	5.091144	6.210558	5.344051	6.728474	4.880668	4.848112	7.293871	6.451942	5.992844	5.671033	4.592536	4.593989	6.029409	6.720264	5.528561	4.17752	4.626809	5.514003	5.263276	4.794072	6.373574
HEATR1	3.688395	3.249595	3.482842	3.179756	3.886234	2.739521	3.662112	3.444384	3.302025	3.346662	4.043028	3.786876	3.220967	3.704234	3.646009	3.517637	3.526524	3.475426	3.393125	3.64213	3.691883	3.222773	3.37627	3.517913	3.646399	3.239531	3.728976	3.500706	3.326948	2.74025	3.2868	3.247967	3.115515	3.210135	3.576659	3.544998	3.313376	3.347358	3.324972	3.207248	3.569347	3.711925	3.394587	3.689924	3.075727	3.440766	3.598482	3.164203	3.27275	3.063363
C8orf33	3.372934	3.306115	3.25388	2.909496	3.099398	3.003806	3.218539	3.600089	3.198334	3.637041	4.345353	3.307792	3.107932	3.231724	3.558675	3.432938	3.296713	3.274651	3.038029	3.396363	3.481382	3.393731	3.108979	3.273599	3.868199	3.126947	3.780007	3.190462	3.372735	3.176659	3.100453	3.206694	3.112444	3.278426	3.398121	3.25872	3.606934	3.269667	3.562152	3.372812	3.365091	3.573395	3.25321	3.49676	3.518779	3.20173	3.4466	3.009785	3.511756	2.968025
GNE	7.239292	7.188814	7.657718	6.975161	6.648999	6.509526	7.70271	7.123847	6.642229	6.644312	7.062835	7.662246	6.802355	7.018294	7.442367	7.260365	7.04787	7.306373	7.623482	6.925894	6.218673	6.499367	6.859044	7.079563	5.217559	7.55463	6.394595	7.404905	7.157574	5.530332	6.765316	7.311274	6.965595	6.807131	6.67382	7.318036	7.154726	6.954874	6.733759	6.88386	7.287059	6.573237	7.121991	6.89412	6.948858	6.908148	6.439025	6.947754	7.192969	6.40946
BHMT	10.012079	10.161062	10.324803	9.301269	8.962533	9.040494	9.751058	10.646761	9.905681	9.949376	9.632149	9.593619	9.868396	9.527439	9.427731	9.14151	10.255019	10.590211	10.876522	9.63688	9.413043	10.043903	10.213045	9.673017	8.817065	10.019206	8.492159	9.889661	9.923872	8.263856	10.03398	8.998344	9.937032	10.24134	11.199109	10.02889	11.192625	9.791577	9.447499	10.307121	10.568913	9.149822	10.019651	10.768961	9.227255	10.099244	10.16746	8.972326	10.412047	8.099972
MMP12	2.081671	1.796339	1.779196	1.744427	1.7574	1.744427	1.744427	1.778436	2.190066	1.77981	1.744427	2.036653	1.810015	1.744427	1.761535	2.034573	1.744427	1.744427	1.780322	1.816136	1.76092	1.84526	2.010046	1.784289	1.788708	1.778199	1.847415	1.779986	1.744427	1.765798	1.763788	1.744427	1.744427	1.758667	1.744427	1.776273	1.744427	1.756323	1.766402	1.758497	1.744427	3.121692	1.761209	1.889764	1.744427	1.744427	1.830121	1.744427	1.834662	1.744427
HEXA	3.919398	4.229412	4.098306	3.966211	3.882634	3.867301	4.152459	3.798861	3.87794	4.435124	4.504143	4.076986	4.050674	3.983324	4.094327	4.089624	4.078161	4.041683	4.179314	4.420179	4.02512	4.109131	4.309546	3.707078	4.738246	3.96148	4.693316	4.171144	3.957208	4.374881	3.987	4.047564	3.800091	3.927493	4.297112	3.853532	4.078374	4.227166	4.368402	4.090627	4.051675	4.631216	3.858849	4.370119	4.426279	4.195325	4.782098	4.037876	4.096613	3.952826
MUS81	3.40896	3.377017	3.169172	3.24914	3.486344	2.887627	3.417897	3.495407	3.104799	3.828283	4.01936	3.650743	3.482027	3.088593	3.279395	3.693167	3.355301	3.433653	3.281785	3.701863	3.690946	3.491409	3.472699	3.13098	3.76215	3.229368	3.694799	3.442869	3.180901	3.132629	3.432806	3.224189	3.447097	3.316497	3.354043	3.367721	3.470875	3.489732	3.478963	3.222121	3.254208	3.918832	3.189257	3.591756	3.288689	3.292136	3.54826	3.274241	3.194068	3.396505
LASP1	7.030735	5.988372	6.040462	6.282652	6.374331	5.75148	6.02569	5.671487	5.851798	6.505821	6.829208	6.41724	6.435728	6.424999	6.440561	6.393492	6.678692	6.322465	6.575418	6.492213	6.667948	6.050023	6.324608	6.400445	6.779429	5.844996	6.797021	6.402278	6.083744	5.916647	6.49566	6.039492	6.237305	5.70841	6.795737	6.209041	6.249764	6.29729	6.009207	6.033263	6.375187	6.747161	5.767555	6.685494	6.667996	6.422496	6.594041	6.066241	6.160933	5.889228
ZKSCAN1	4.548802	4.364232	4.380693	4.395982	3.802609	3.895664	4.537043	3.708848	4.299715	4.912753	5.235625	5.439935	4.085527	4.134693	5.207935	4.499925	4.073332	5.806756	4.63031	5.049169	3.951742	3.82615	4.461912	4.502332	4.301563	4.883147	4.204934	4.935462	4.778777	4.25508	4.056591	5.045276	4.350132	5.195893	4.915904	4.085045	4.499289	4.674756	3.91037	4.789338	4.855836	4.591315	3.961946	5.024994	3.921533	4.898794	4.66311	4.738104	4.658171	4.213214
G0S2	8.955901	5.654789	8.334504	7.639629	9.476006	8.036325	6.621448	10.620017	7.276784	6.8615	8.059849	5.017347	10.261121	7.033217	7.649888	9.531658	8.774442	7.233237	7.207708	6.619161	9.268937	7.962241	6.824416	7.434742	7.37588	7.93907	8.871313	7.021801	6.730978	7.914856	7.715678	6.493034	7.475046	5.818538	5.954234	9.449147	5.699776	5.560517	9.108524	6.563099	6.125742	5.332873	8.459227	5.765384	7.448304	6.902177	5.521679	8.025592	6.218607	7.717569
PPP1R11	5.994169	5.90897	6.116653	6.067499	6.008025	5.858836	5.983134	5.839596	5.963954	6.415359	6.514728	6.225872	6.139211	6.090957	5.972107	6.003747	5.817183	5.843085	5.963624	6.107453	6.384075	5.97359	6.123715	5.908317	6.393875	5.860675	6.355345	5.756611	6.209901	5.512327	5.809877	6.111599	6.038955	6.121435	5.955308	5.759684	5.900395	5.720538	6.461995	5.808086	5.938771	6.362463	5.780684	5.907722	6.26392	5.847617	6.075031	5.998535	5.984751	5.879116
STC1	2.504752	1.937598	2.937693	2.372873	2.58551	2.052967	1.840151	3.166585	2.438164	2.459339	1.773794	2.211373	2.714374	2.218638	1.981338	1.954351	2.069133	1.691444	2.452438	2.447889	4.05211	2.350675	3.128651	2.8986	2.117546	1.959988	3.618726	1.736369	1.892062	2.31923	2.448385	1.701968	1.890437	1.814021	2.18249	3.521284	1.904739	1.886586	2.214674	1.914107	2.308489	2.300185	2.481103	1.852435	1.872382	2.166392	2.422023	1.810794	1.906486	2.247409
CIRBP	5.177044	5.343277	5.308593	5.046491	5.082013	5.416658	5.459377	5.926957	5.294074	5.996206	6.460098	5.479514	5.686022	4.94796	5.855285	5.716651	5.646913	5.681423	5.997519	5.98483	6.155619	5.81839	5.391841	5.193197	5.810401	5.587455	6.236623	5.58551	5.446619	6.073595	5.027901	5.8288	5.452147	5.66192	5.544399	5.456389	5.119056	5.56701	5.741364	5.702546	5.221396	6.314228	5.216137	5.550636	5.416126	5.23433	5.73725	5.484515	5.188931	5.314939
AMBP	10.360546	10.219746	10.003154	10.189115	9.741943	10.809829	10.29658	10.154698	9.738587	10.257656	9.890407	10.053385	10.031448	9.689017	9.659611	9.859925	9.909134	10.207534	10.203799	10.120432	9.724218	10.220526	10.134225	9.980423	10.261091	10.371656	9.853227	10.101786	10.345442	10.491337	10.147935	10.269802	10.360552	10.359135	10.184694	10.010041	10.071252	10.28401	10.118292	10.156076	9.964496	9.819955	10.272561	9.95361	10.395085	9.987961	10.025393	10.319512	10.447886	10.186608
MTDH	6.178198	6.045012	6.326713	5.848249	6.396261	5.41011	6.282586	6.168546	5.987593	5.968201	6.472741	6.104016	5.866544	6.266802	6.251782	6.339851	6.327329	6.093675	6.26848	6.069928	5.823235	5.665945	6.116865	6.267774	6.022587	6.130524	6.153144	6.175343	6.009543	5.455156	6.05502	5.92797	5.794796	5.963075	6.504541	6.333651	6.28606	6.333855	5.725099	5.84808	6.267103	5.96284	5.877195	6.348658	4.901223	6.025595	6.345481	5.690659	6.044802	5.958575
DCXR	10.058541	10.637251	10.149705	10.49366	8.915565	11.290054	10.100022	10.22854	9.461428	10.487808	10.313419	10.033446	10.614617	9.85736	8.783277	9.496479	9.294523	10.250109	10.515964	9.86465	9.774145	10.630105	10.159882	9.657725	9.57909	10.231836	9.015595	10.075457	10.719904	10.703347	10.049545	10.365848	10.656848	10.183751	10.292772	9.851711	10.312917	10.518689	10.266762	10.861199	10.832842	8.964126	10.488201	9.49039	10.98522	10.032529	9.768915	9.697602	11.066152	9.546056
DNASE1L3	7.565735	7.539761	7.569593	7.485708	7.375591	3.618445	7.554025	8.373697	7.742907	7.813385	9.106976	8.157502	7.66121	8.243632	7.85503	7.255985	7.998166	7.541713	7.44995	7.045899	7.092914	8.07471	8.247139	7.980777	7.074033	6.719729	6.631705	7.537241	7.614724	7.970477	6.225359	7.285589	5.273064	7.918269	7.040526	6.755075	8.091458	7.760025	9.011822	6.860151	7.592895	7.554434	6.217918	7.077214	7.068192	6.744321	7.577137	4.825313	7.139658	7.300304
ZNF672	4.262547	3.601825	3.599112	3.939837	4.377029	3.875012	3.644985	4.779446	3.609962	4.266159	4.526773	4.229931	4.513419	3.745205	3.976857	3.992707	4.161737	3.729473	3.737964	3.856124	4.242219	3.589014	3.927675	4.285215	4.271874	3.791842	4.383594	3.664951	3.885424	3.95869	4.028126	3.556229	4.043238	3.619023	3.870632	4.284412	3.902316	3.753662	4.378236	3.400162	3.702031	4.045769	4.203325	3.985141	3.795019	3.667252	4.105276	3.706955	3.753933	3.794579
DYNLL1	6.688642	6.470312	6.416616	6.886333	6.568769	6.280043	5.957969	6.015017	6.617401	6.846532	7.365938	6.849474	6.746222	6.214273	6.24789	6.688513	5.962318	5.870384	6.079641	6.89841	7.056243	6.191374	6.633338	6.806792	7.446633	6.048236	7.027484	6.423168	6.225348	6.9352	6.271972	6.148839	6.315385	6.314732	6.203752	6.22709	6.645586	6.355933	6.770878	5.930473	6.554685	6.964123	5.812278	6.474328	6.378266	6.501037	6.570916	6.520877	6.580152	6.450122
TALDO1	6.649546	6.894923	6.896579	7.001431	6.568185	7.093023	6.91186	6.789065	6.677273	7.203329	7.600245	7.014965	7.208086	6.790793	6.646697	6.731912	6.462458	6.679564	6.880782	6.862928	6.895528	6.896592	6.975215	6.677549	7.070862	6.757585	6.870026	6.89549	6.931494	7.742359	7.04248	6.956733	6.969552	6.7867	7.182725	6.559464	6.762282	6.861413	7.237796	6.811436	6.783943	7.078131	6.722406	6.809077	7.293944	6.647687	6.779344	6.911965	7.09466	6.948941
NUP210	3.41636	3.152397	2.854041	3.082512	3.171672	2.534576	3.337879	2.760964	2.766767	3.390069	3.62717	3.341885	2.855621	3.034986	3.390368	3.178241	3.036756	3.413105	3.169684	3.525633	2.922642	2.878196	3.547546	2.77412	3.358363	3.008866	3.325492	3.591035	3.140663	3.079073	3.054604	3.155379	3.114237	3.087836	3.316918	2.708645	2.861691	3.223542	3.065037	2.991781	3.21883	3.769993	2.813311	3.326472	3.141315	3.203579	3.550094	3.110242	3.029196	3.006587
TSSC4	3.471926	3.151365	2.882499	3.20207	3.180996	3.730726	3.084776	3.956427	2.906096	3.823984	4.013407	3.347433	3.559553	2.939379	3.065911	3.268903	3.367958	3.093277	3.889956	3.326629	3.949627	3.621287	3.072658	3.314943	3.589294	3.259476	3.824793	3.186529	3.221115	4.274573	3.20469	3.142146	3.473199	3.205566	3.032853	3.301436	3.123041	3.294776	4.011538	2.913304	2.790659	3.468165	3.258303	3.129987	3.288445	3.035033	3.111521	3.302152	3.221555	3.239072
XYLT2	2.720368	2.900447	2.735751	2.787606	2.599014	2.661282	2.905666	2.272619	2.467273	3.049464	3.219098	2.898934	2.750489	2.76162	2.857341	2.728934	2.631616	2.842294	2.769071	3.113157	2.807606	2.529064	2.993798	2.598854	3.002645	2.883732	3.181463	3.028963	2.793975	3.096399	2.689949	2.873975	2.798469	2.752299	3.246157	2.425025	2.674421	2.899479	2.754453	2.692224	2.877382	3.002746	2.615147	2.975166	3.105469	2.999657	3.260617	2.894757	2.59857	2.67227
EXOC2	2.920663	2.899182	3.135164	2.492623	3.262569	2.37103	2.886609	2.913131	2.737721	2.705498	2.817865	2.965356	2.71091	3.208268	3.074354	2.942618	2.876309	2.651283	2.850176	3.013195	2.882912	2.420077	3.162914	2.831332	3.448353	2.395509	3.135512	2.996333	2.800719	2.366025	2.982571	2.558797	2.346411	2.311981	3.452433	2.749554	2.672889	2.963693	2.571965	2.529304	3.093475	3.388284	2.538901	3.020945	2.795563	2.908729	3.552179	2.490494	2.537553	2.627049
POLE3	4.347338	4.098899	3.924656	3.604322	3.599576	3.541946	3.771522	3.923602	3.777207	3.885123	5.027677	4.036449	3.572962	3.922563	4.122157	4.154754	4.033693	4.032673	3.815894	4.160916	4.130206	3.96775	3.937916	3.976847	4.503211	3.861292	4.364645	3.852801	4.072167	3.164137	3.585547	3.641549	3.673695	3.780601	4.551569	3.688635	4.299818	4.370703	3.89617	3.833749	4.190169	4.16571	3.545819	4.005441	4.09379	4.012484	4.441467	3.408217	3.998739	3.696319
DDX42	5.384245	5.191305	5.323231	5.003423	5.197192	4.623408	5.353973	5.273574	4.924568	5.286759	5.789857	5.518006	5.27861	5.295353	5.549183	5.30948	5.399982	5.251267	5.200199	5.495279	5.482811	5.157642	5.182154	5.292886	5.507512	5.045716	5.564217	5.22632	5.237502	4.725469	5.156899	5.004259	5.029045	4.949403	5.31719	5.259104	4.949833	5.345127	5.179392	5.131231	5.242666	5.550903	5.030854	5.228408	4.944474	5.096832	5.37564	4.911284	4.958455	5.019167
PIGZ	2.211081	2.52695	2.324662	2.367646	2.160748	2.477128	2.422246	2.26047	2.230858	2.235009	2.353748	2.234535	2.526798	2.267256	2.186141	2.186772	2.311259	2.331425	2.228254	2.771189	2.236164	2.386828	2.665561	2.221054	2.64674	2.482696	2.567869	2.52027	2.449688	2.547547	2.328592	2.264948	2.423954	2.280494	2.341573	2.323508	2.335601	2.537638	2.149447	2.409862	2.501087	2.363727	2.220101	2.346372	2.664892	2.500829	2.648187	2.298542	2.42167	2.15314
